,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,_id,genre,imdbID,imdbId,imdbRating,imdbVotes,movielens_Id,sentiment_polarity,tmdbId,tomatoConsensus,tomatoFresh,tomatoImage,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoURL,tomatoUserMeter,tomatoUserRating,tomatoUserReviews
0,"Amanda Peet, Brian Van Holt, Jonathan Abrahams, Zorie Barber",1 nomination.,3780907.0,USA,06 Feb 2001,Peter M. Cohen,"[Comedy, Romance]","English, Italian",10.0,"Three egotistical swingers, who think they're God's gift to women, end up having their friendships tested when all three of them pick up and start dating the same woman.",http://ia.media-imdb.com/images/M/MV5BMjE1MzU3ODQxMV5BMl5BanBnXkFtZTcwNTczNzYxMQ@@._V1_SX300.jpg,Destination Films,R,01 Sep 2000,True,82.0,Whipped,movie,http://www.whipped.com,Peter M. Cohen,2000,58f85d9c0d39b85b38207b48,Comedy,tt0174336,174336,4.4,"3,674",3597,-0.516666666667,23531.0,"The sex jokes in Whipped are tiresomely vulgar and unfunny. Critics also condemn the movie as cynical and mean-spirited, with no likable characters.",9,rotten,13.0,3.2,68,59,http://www.rottentomatoes.com/m/whipped/,32.0,2.4,4592
1,"Bruce Willis, Matthew Perry, Rosanna Arquette, Michael Clarke Duncan",5 nominations.,57262492.0,USA,18 Jul 2000,Jonathan Lynn,"[Comedy, Crime]","English, French, Spanish",47.0,"Nick is a struggling dentist in Canada. A new neighbor moves in, and he discovers that it is Jimmy ""The Tulip"" Teduski. His wife convinces him to go to Chicago and inform the mob boss who wants Jimmy dead.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4Nzk4NzU4MF5BMl5BanBnXkFtZTYwNzU0MDc3._V1_SX300.jpg,Warner Home Video,R,18 Feb 2000,True,98.0,The Whole Nine Yards,movie,http://nineyards.warnerbros.com,Mitchell Kapner,2000,58f85d9c0d39b85b38207b49,Comedy|Crime,tt0190138,190138,6.7,"91,439",3301,0.0114583333333,2069.0,"Despite a charming cast, The Whole Nine Yards could only tickle half of the critics' funny bones. The other half thought it an underwelming, depressing sitcom.",45,rotten,45.0,5.2,100,55,http://www.rottentomatoes.com/m/whole_nine_yards/,64.0,3.2,211435
2,"D.B. Sweeney, Alfre Woodard, Ossie Davis, Max Casella",4 wins &amp; 20 nominations.,135606304.0,USA,30 Jan 2001,"Eric Leighton, Ralph Zondag","[Animation, Adventure, Family]",English,56.0,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,https://images-na.ssl-images-amazon.com/images/M/MV5BZWQ1NTZjMjUtODNmZS00NTVhLWFhM2ItNWZiOTdjMzdhZTY2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Buena Vista,PG,19 May 2000,True,82.0,Dinosaur,movie,http://disney.go.com/disneypictures/dinosaur/dinomain.html,"Thom Enriquez (story), John Harrison (story), Robert Nelson Jacobs (story), Ralph Zondag (story), John Harrison (screenplay), Robert Nelson Jacobs (screenplay), Walon Green (based on an earlier screenplay by), Gregory Gunter (creative development), Shirley Pierce (screenplay), Jonathan Roberts (additional story material), Rhett Reese (additional story material), Tamara Lusher (additional story)",2000,58f85d9c0d39b85b38207b4a,Adventure|Animation|Children,tt0130623,130623,6.5,"39,115",3615,0.151388888889,10567.0,"While Dinosaur's plot is generic and dull, its stunning computer animation and detailed backgrounds are enough to make it worth a look.",79,fresh,65.0,6.2,122,43,http://www.rottentomatoes.com/m/1097046-dinosaur/,47.0,3.0,70839
3,"Martin Lawrence, Nia Long, Paul Giamatti, Jascha Washington",1 win &amp; 8 nominations.,492734.0,"USA, Germany",28 Nov 2000,Raja Gosnell,"[Action, Comedy, Crime]",English,33.0,"In order to protect a beautiful woman and her son from a robber, a male FBI agent disguises himself as a large grandmother.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyMjdlYmUtNjQ1Zi00YTg3LTliNTgtZmNkOTRmYzEzYTMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,20th Century Fox,PG-13,02 Jun 2000,True,99.0,Big Momma's House,movie,,"Darryl Quarles (story), Darryl Quarles (screenplay), Don Rhymer (screenplay)",2000,58f85d9c0d39b85b38207b4b,Comedy,tt0208003,208003,5.1,"67,926",3646,0.0833333333333,9600.0,"Big Momma's House is funny in some parts, but it is essentially a one-joke movie.",24,rotten,30.0,4.4,81,57,http://www.rottentomatoes.com/m/big_mommas_house/,57.0,3.2,475557
4,"Samuel L. Jackson, Vanessa Williams, Jeffrey Wright, Christian Bale",1 win &amp; 13 nominations.,70334258.0,"Germany, USA",12 Dec 2000,John Singleton,"[Action, Crime, Thriller]","English, German, Spanish",50.0,New York City police detective John Shaft (nephew of the original 1970s detective) goes on a personal mission to make sure the son of a real estate tycoon is brought to justice after a racially-motivated murder.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMzNzcyNjE3MV5BMl5BanBnXkFtZTcwNjY1NzQyMQ@@._V1_SX300.jpg,Paramount Pictures,R,16 Jun 2000,True,99.0,Shaft,movie,http://www.shaft-themovie.com,"Ernest Tidyman (novel), John Singleton (story), Shane Salerno (story), Richard Price (screenplay), John Singleton (screenplay), Shane Salerno (screenplay)",2000,58f85d9c0d39b85b38207b4c,Action|Crime|Thriller,tt0162650,162650,5.9,"59,139",3744,0.307359307359,479.0,"With a charismatic lead, this new Shaft knows how to push the right buttons.",76,fresh,68.0,6.1,112,36,http://www.rottentomatoes.com/m/1098038-shaft/,40.0,2.9,64538
5,"Nicolas Cage, Giovanni Ribisi, Angelina Jolie, T.J. Cross",7 wins &amp; 5 nominations.,100978700.0,USA,05 Dec 2000,Dominic Sena,"[Action, Crime, Thriller]",English,35.0,A retired master car thief must come back to the industry and steal 50 cars with his crew in one night to save his brother's life.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwMzExNDEwN15BMl5BanBnXkFtZTYwODMxMzg2._V1_SX300.jpg,Buena Vista Pictures,PG-13,09 Jun 2000,True,118.0,Gone in Sixty Seconds,movie,http://studio.go.com/movies/goneinsixty,"H.B. Halicki, Scott Rosenberg (screenplay)",2000,58f85d9c0d39b85b38207b4d,Action|Crime,tt0187078,187078,6.5,"221,676",3717,-0.5,9679.0,"Even though Oscar-bearers Nicolas Cage, Angelina Jolie, and Robert Duval came aboard for this project, the quality of Gone in 60 Seconds is disappointingly low. The plot line is nonsensical, and even the promised car-chase scenes are boring.",33,rotten,24.0,4.4,135,102,http://www.rottentomatoes.com/m/1097865-gone_in_60_seconds/,77.0,3.5,954845
6,"Phil Daniels, Lynn Ferguson, Mel Gibson, Tony Haygarth",Nominated for 1 Golden Globe. Another 23 wins &amp; 26 nominations.,106604314.0,"UK, USA, France",21 Nov 2000,"Peter Lord, Nick Park","[Animation, Adventure, Comedy]",English,88.0,"When a bird ""flies"" into a chicken farm, the fellow chickens see him as an opportunity to escape their evil owners.",https://images-na.ssl-images-amazon.com/images/M/MV5BY2UyYjFkNzAtYzIyMC00MGI1LTlkNDktNzUyOGQ5NTI2ZGFjXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,Dreamworks Pictures,G,23 Jun 2000,True,84.0,Chicken Run,movie,http://www.reel.com/reel.asp?node=chickenrun,"Peter Lord (original story), Nick Park (original story), Karey Kirkpatrick (screenplay), Mark Burton (additional dialogue), John O'Farrell (additional dialogue)",2000,58f85d9c0d39b85b38207b4e,Animation|Children|Comedy,tt0120630,120630,7.0,"142,677",3751,0.233333333333,7443.0,"Chicken Run has all the charm of Nick Park's Wallace &amp; Gromit, and something for everybody. The voice acting is fabulous, the slapstick is brilliant, and the action sequences are spectacular.",165,certified,97.0,8.1,170,5,http://www.rottentomatoes.com/m/chicken_run/,64.0,3.0,547643
7,"Jim Carrey, Renée Zellweger, Anthony Anderson, Mongo Brownlee",2 wins &amp; 4 nominations.,560525.0,USA,24 May 2001,"Bobby Farrelly, Peter Farrelly",[Comedy],"English, German",49.0,A nice-guy cop with dissociative identity disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.,https://images-na.ssl-images-amazon.com/images/M/MV5BODMwMDY2YzUtNGFiNS00NDA1LWI4YzMtYzVmM2RlZTk3NGVlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,20th Century Fox,R,23 Jun 2000,True,116.0,"Me, Myself &amp; Irene",movie,http://www.memyselfandirene.com,"Peter Farrelly, Mike Cerrone, Bobby Farrelly",2000,58f85d9c0d39b85b38207b4f,Adventure|Comedy,tt0183505,183505,6.5,"188,728",3752,-0.4,2123.0,"While Jim Carrey's comedic skills earn some laughs, Me, Myself and Irene sports a tired, unsatisfying plot.",47,rotten,48.0,5.4,98,51,http://www.rottentomatoes.com/m/me_myself_and_irene/,57.0,3.1,448590
8,"Rene Russo, Jason Alexander, Piper Perabo, Randy Quaid",2 wins &amp; 5 nominations.,411840.0,"USA, Germany",13 Feb 2001,Des McAnuff,"[Animation, Adventure, Comedy]",English,36.0,"When enemies Boris, Natasha and Fearless leader escape into the real world with a nefarious scheme, Rocky &amp; Bullwinkle do the same and team up with a young F.B.I. agent to stop the trio.",https://images-na.ssl-images-amazon.com/images/M/MV5BMzI0Mzk2NzcwNV5BMl5BanBnXkFtZTcwNjYyNTkxMQ@@._V1_SX300.jpg,Universal Pictures,PG,30 Jun 2000,True,92.0,The Adventures of Rocky &amp; Bullwinkle,movie,http://www.rockyandbullwinkle.com,"Jay Ward (characters), Kenneth Lonergan",2000,58f85d9c0d39b85b38207b50,Adventure|Animation|Children|Comedy|Fantasy,tt0131704,131704,4.2,"16,872",3754,0.0,17711.0,"Though the film stays true to the nature of the original cartoon, the script is disappointing and not funny.",41,rotten,43.0,4.8,96,55,http://www.rottentomatoes.com/m/adventures_of_rocky_and_bullwinkle/,20.0,2.2,51872
9,"Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs",Nominated for 3 Oscars. Another 8 wins &amp; 18 nominations.,2317507.0,"USA, Germany",25 Apr 2006,Roland Emmerich,"[Action, Drama, History]",English,63.0,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzMjE4ODU0MV5BMl5BanBnXkFtZTYwNTI2OTk2._V1_SX300.jpg,Columbia Pictures,R,28 Jun 2000,True,165.0,The Patriot,movie,http://www.spe.sony.com/movies/thepatriot,Robert Rodat,2000,58f85d9c0d39b85b38207b51,Action|Drama|War,tt0187393,187393,7.1,"210,049",3753,0.133333333333,2024.0,"The Patriot can be entertaining to watch, but it relies too much on formula and melodrama.",82,fresh,61.0,6.1,134,52,http://www.rottentomatoes.com/m/1098149-patriot/,81.0,3.6,422451
10,"Kate Beckinsale, James Fox, Anjelica Huston, Nick Nolte",1 win &amp; 1 nomination.,2178448.0,"USA, France, UK",06 Nov 2001,James Ivory,"[Drama, Romance]",English,62.0,A man marries an heiress for her money even though he is actually in love with her friend.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyNTI0OTY3M15BMl5BanBnXkFtZTcwMDI1MTQyMQ@@._V1_SX300.jpg,Lions Gate Films,R,25 May 2001,True,130.0,The Golden Bowl,movie,,"Henry James (novel), Ruth Prawer Jhabvala (screenplay)",2000,58f85d9c0d39b85b38207b52,Drama,tt0200669,200669,5.9,"3,780",3756,0.4,29946.0,"Coming from the Merchant-Ivory team, The Golden Bowl is visually stunning, but the filmmakers have difficulty in transporting the characterizations of the Henry James novel to the screen.",46,rotten,54.0,5.4,85,39,http://www.rottentomatoes.com/m/golden_bowl/,39.0,3.0,3149
11,"Bruce Willis, Spencer Breslin, Emily Mortimer, Lily Tomlin",1 win &amp; 2 nominations.,68493389.0,USA,23 Jan 2003,Jon Turteltaub,"[Comedy, Family, Fantasy]",English,45.0,An unhappy and disliked image consultant gets a second shot at life when an eight year old version of himself mysteriously appears.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwMzk2NTE5NF5BMl5BanBnXkFtZTcwMTcyOTAwMQ@@._V1_SX300.jpg,Disney,PG,07 Jul 2000,True,104.0,The Kid,movie,http://disney.go.com/disneypictures/thekid/homepage.html,Audrey Wells,2000,58f85d9c0d39b85b38207b53,Comedy|Fantasy,tt0219854,219854,6.1,"34,881",3784,-0.075,4244.0,Critics find The Kid to be too sweet and the movie's message to be annoyingly simplistic.,48,rotten,49.0,5.2,98,50,http://www.rottentomatoes.com/m/the-kid/,48.0,3.0,60535
