,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,_id,genre,imdbID,imdbId,imdbRating,imdbVotes,movielens_Id,sentiment_polarity,tmdbId,tomatoConsensus,tomatoFresh,tomatoImage,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoURL,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,predictedBO
2000,"John C. Reilly, Jonah Hill, Marisa Tomei, Catherine Keener",6 nominations.,7455447.0,USA,14 Dec 2010,"Jay Duplass, Mark Duplass","[Comedy, Drama, Romance]",English,74.0,"John and Molly, a divorced middle aged man and a single mother meet at a friends party and start up a small relationship, all John has to do now is meet Molly's son... Cyrus",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MDU4NzUwMF5BMl5BanBnXkFtZTcwOTM4MDgzMw@@._V1_SX300.jpg,Fox Searchlight,R,16 Jul 2010,True,91.0,Cyrus,movie,http://www.foxsearchlight.com/cyrus/,"Mark Duplass, Jay Duplass",2010,58f85d9c0d39b85b38208318,Comedy|Drama|Romance,tt1336617,1336617,6.3,"30,408",77421,0.291666666667,39053.0,"While it may strike some viewers as slight, Cyrus is a successful hybrid of mainstream production values and the mumblecore ideals of directors Jay and Mark Duplass.",123,certified,80.0,6.9,153,30,http://www.rottentomatoes.com/m/cyrus/,53.0,3.1,44478,7478850.25
2001,"Banksy, Mr. Brainwash, Debora Guetta, Space Invader",Nominated for 1 Oscar. Another 24 wins &amp; 28 nominations.,3288699.0,UK,14 Dec 2010,Banksy,"[Documentary, Comedy, Crime]","English, French",85.0,"The story of how an eccentric French shop-keeper and amateur film-maker attempted to locate and befriend Banksy, only to have the artist turn the camera back on its owner. The film contains...",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2NTg1NDM4Ml5BMl5BanBnXkFtZTcwMzMxOTkyMw@@._V1_SX300.jpg,Abarorama,R,14 May 2010,True,87.0,Exit Through the Gift Shop,movie,http://www.banksyfilm.com/,,2010,58f85d9c0d39b85b38208319,Comedy|Documentary,tt1587707,1587707,8.0,"51,652",77455,0.6,39452.0,"An amusing, engrossing look at underground art, Exit Through the Gift Shop entertains as it deflates the myths and hype surrounding its subjects.",104,certified,96.0,8.1,108,4,http://www.rottentomatoes.com/m/exit_through_the_gift_shop/,91.0,4.2,24211,3278611.0
2002,"Owen Wilson, Emma Stone, George Lopez, Christopher Mintz-Plasse",2 nominations.,33643461.0,USA,31 Aug 2010,Tom Dey,"[Comedy, Family]",English,30.0,"A suburban family moves to a new neighborhood with their large yet lovable Great Dane, who has a tendency to wreak havoc in his own oblivious way.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyMDkwNjQ3N15BMl5BanBnXkFtZTcwMDc0NzgyMw@@._V1_SX300.jpg,20th Century Fox,PG,04 Jun 2010,True,87.0,Marmaduke,movie,http://www.themarmadukemovie.com/,"Tim Rasmussen, Vince Di Meglio, Brad Anderson (comic), Phil Leeming (comic)",2010,58f85d9c0d39b85b3820831a,Comedy,tt1392197,1392197,4.2,"11,429",77665,-0.0158333333333,38579.0,"Dull and unfunny, Marmaduke offers family filmgoers little more than another round of talking animals and scatological humor.",9,rotten,9.0,3.1,99,90,http://www.rottentomatoes.com/m/marmaduke/,41.0,3.0,78258,316957122.0
2003,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson",Nominated for 1 Oscar. Another 7 wins &amp; 40 nominations.,312057433.0,USA,28 Sep 2010,Jon Favreau,"[Action, Adventure, Sci-Fi]","English, French, Russian",57.0,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM0MDgwNjMyMl5BMl5BanBnXkFtZTcwNTg3NzAzMw@@._V1_SX300.jpg,Paramount Studios,PG-13,07 May 2010,True,124.0,Iron Man 2,movie,http://www.ironmanmovie.com/,"Justin Theroux (screenplay), Stan Lee (Marvel comic book), Don Heck (Marvel comic book), Larry Lieber (Marvel comic book), Jack Kirby (Marvel comic book)",2010,58f85d9c0d39b85b3820831b,Action|Adventure|Sci-Fi|Thriller|IMAX,tt1228705,1228705,7.0,"534,197",77561,0.15,10138.0,"It isn't quite the breath of fresh air that Iron Man was, but this sequel comes close with solid performances and an action-packed plot.",200,certified,72.0,6.5,276,76,http://www.rottentomatoes.com/m/iron_man_2/,72.0,3.7,476151,33597506.6667
2004,"Will Forte, Kristen Wiig, Ryan Phillippe, Val Kilmer",1 nomination.,8000000.0,USA,07 Sep 2010,Jorma Taccone,"[Action, Comedy, Romance]","English, Russian",43.0,"Former special operative MacGruber is called back into action to take down his arch-enemy, Dieter Von Cunth, who's in possession of a nuclear warhead and bent on destroying Washington, D.C.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4MDY1ODY5Nl5BMl5BanBnXkFtZTcwNjgzMTEzMw@@._V1_SX300.jpg,Universal/Rogue Pictures,R,21 May 2010,True,90.0,MacGruber,movie,http://iamrogue.com/macgruber/,"Will Forte, John Solomon, Jorma Taccone",2010,58f85d9c0d39b85b3820831c,Action|Comedy,tt1470023,1470023,5.5,"36,341",77667,0.425,37931.0,"It too often mistakes shock value for real humor, but MacGruber is better than many SNL films -- and better than it probably should be.",62,rotten,47.0,5.1,132,70,http://www.rottentomatoes.com/m/macGruber/,34.0,2.6,120027,8080116.0
2005,"Russell Crowe, Cate Blanchett, Max von Sydow, William Hurt",1 win &amp; 16 nominations.,105219735.0,"USA, UK",21 Sep 2010,Ridley Scott,"[Action, Adventure, Drama]","English, French, Ukrainian",53.0,"In 12th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5NzcwMzEwOF5BMl5BanBnXkFtZTcwNjg5MTgwMw@@._V1_SX300.jpg,Universal,PG-13,14 May 2010,True,140.0,Robin Hood,movie,http://www.robinhoodthemovie.com/,"Brian Helgeland (screenplay), Brian Helgeland (story), Ethan Reiff (story), Cyrus Voris (story)",2010,58f85d9c0d39b85b3820831e,Action|Adventure|Drama|Romance|War,tt0955308,955308,6.7,"214,754",77866,0.120833333333,20662.0,"Ridley Scott's revisionist take on this oft-told tale offers some fine acting and a few gripping action sequences, but it's missing the thrill of adventure that made Robin Hood a legend in the first place.",103,rotten,43.0,5.4,239,136,http://www.rottentomatoes.com/m/robin_hood_2010/,58.0,3.5,264819,63200000.0
2006,"Jackie Earle Haley, Kyle Gallner, Rooney Mara, Katie Cassidy",2 wins &amp; 11 nominations.,63100000.0,USA,05 Oct 2010,Samuel Bayer,"[Horror, Mystery, Thriller]",English,35.0,"The spectre of a dead child rapist haunts the children of the parents who murdered him, stalking and killing them in their dreams.",https://images-na.ssl-images-amazon.com/images/M/MV5BODIxMTQ0NTIxM15BMl5BanBnXkFtZTcwMzY1NDAyMw@@._V1_SX300.jpg,Warner Bros. Pictures,R,30 Apr 2010,True,95.0,A Nightmare on Elm Street,movie,http://www.nightmareonelmstreet.com/,"Wesley Strick (screenplay), Eric Heisserer (screenplay), Wesley Strick (story), Wes Craven (characters)",2010,58f85d9c0d39b85b3820831d,Fantasy|Horror|Thriller,tt1179056,1179056,5.2,"76,684",77798,-0.025,23437.0,"Visually faithful but lacking the depth and subversive twists that made the original so memorable, the Nightmare on Elm Street remake lives up to its title in the worst possible way.",26,rotten,15.0,3.7,171,145,http://www.rottentomatoes.com/m/nightmare_on_elm_street_2010/,43.0,3.0,199419,312820.5
2007,"Riz Ahmed, Arsher Ali, Nigel Lindsay, Kayvan Novak",Won 1 BAFTA Film Award. Another 8 wins &amp; 23 nominations.,308769.0,"UK, France",08 Mar 2011,Christopher Morris,"[Comedy, Crime, Drama]","English, Urdu, Arabic",68.0,Four incompetent British jihadists set out to train for and commit an act of terror.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTczNDQxNzI0NF5BMl5BanBnXkFtZTcwNDM0NzEwNA@@._V1_SX300.jpg,Drafthouse Films,R,07 May 2010,True,97.0,Four Lions,movie,http://www.fourlionsfilm.com/,"Christopher Morris, Sam Bain, Jesse Armstrong, Simon Blackwell (additional writing)",2010,58f85d9c0d39b85b3820831f,Comedy|Drama,tt1341167,1341167,7.3,"57,344",77800,-0.192857142857,37495.0,"Its premise suggests brazenly tasteless humor, but Four Lions is actually a smart, pitch-black comedy that carries the unmistakable ring of truth.",103,certified,82.0,7.2,126,23,http://www.rottentomatoes.com/m/four_lions/,79.0,3.8,22922,105765605.0
2008,"Ryan Gosling, Michelle Williams, Faith Wladyka, John Doman",Nominated for 1 Oscar. Another 7 wins &amp; 50 nominations.,9600000.0,USA,10 May 2011,Derek Cianfrance,"[Drama, Romance]",English,81.0,"The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4MTQ2MzA1Ml5BMl5BanBnXkFtZTcwODE3NTgwNA@@._V1_SX300.jpg,Weinstein Company,R,28 Jan 2011,True,112.0,Blue Valentine,movie,http://bluevalentinemovie.com/,"Derek Cianfrance, Joey Curtis, Cami Delavigne",2010,58f85d9c0d39b85b38208320,Drama|Romance,tt1120985,1120985,7.4,"144,401",78039,0.377777777778,46705.0,"This emotionally gripping examination of a marriage on the rocks isn't always easy to watch, but Michelle Williams and Ryan Gosling give performances of unusual depth and power.",170,certified,88.0,7.8,194,24,http://www.rottentomatoes.com/m/blue_valentine/,77.0,3.7,58122,9400000.0
2009,"Ashton Kutcher, Katherine Heigl, Tom Selleck, Catherine O'Hara",2 wins &amp; 3 nominations.,47000485.0,USA,07 Sep 2010,Robert Luketic,"[Action, Comedy, Romance]",English,21.0,"A vacationing woman meets her ideal man, leading to a swift marriage. Back at home, however, their idyllic life is upset when they discover their neighbors could be assassins who have been contracted to kill the couple.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0NDIwOTcwOV5BMl5BanBnXkFtZTcwNjU3NTQ0Mw@@._V1_SX300.jpg,Lionsgate Films,PG-13,04 Jun 2010,True,100.0,Killers,movie,http://www.killersfilm.com/,"Bob DeRosa (screenplay), Ted Griffin (screenplay), Bob DeRosa (story)",2010,58f85d9c0d39b85b38208321,Action|Comedy,tt1103153,1103153,5.4,"73,777",78041,-0.0257936507937,37821.0,"Dull, formulaic, and chemistry-free, Killers is an action/comedy that's largely bereft of thrills or laughs.",11,rotten,11.0,3.3,104,93,http://www.rottentomatoes.com/m/killers_2010/,41.0,3.1,139375,47124400.0
2010,"Ryan Reynolds, José Luis García Pérez, Robert Paterson, Stephen Tobolowsky",15 wins &amp; 32 nominations.,200000.0,"Spain, USA, France",18 Jan 2011,Rodrigo Cortés,"[Drama, Mystery, Thriller]",English,65.0,Paul is a U.S. truck driver working in Iraq. After an attack by a group of Iraqis he wakes to find he is buried alive inside a coffin. With only a lighter and a cell phone it's a race against time to escape this claustrophobic death trap.,https://images-na.ssl-images-amazon.com/images/M/MV5BZTRmZmIxMDktZjVmMS00NmFiLWExNmMtMzg0MTIyZDYwNWZjXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Lionsgate,R,15 Oct 2010,True,95.0,Buried,movie,http://www.experienceburied.com/,Chris Sparling,2010,58f85d9c0d39b85b38208322,Mystery|Thriller,tt1462758,1462758,7.0,"120,894",78088,-0.305555555556,26388.0,"Wringing a seemingly impossible amount of gripping drama out of its claustrophobic premise, Buried is a nerve-wracking showcase for Ryan Reynolds' talent.",131,certified,87.0,7.3,151,20,http://www.rottentomatoes.com/m/buried/,64.0,3.4,63485,200336.666667
2011,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina",1 win &amp; 9 nominations.,90755643.0,USA,14 Sep 2010,Mike Newell,"[Action, Adventure, Fantasy]",English,50.0,A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMwNDg0NzcyMV5BMl5BanBnXkFtZTcwNjg4MjQyMw@@._V1_SX300.jpg,Walt Disney Pictures,PG-13,28 May 2010,True,116.0,Prince of Persia: The Sands of Time,movie,http://Disney.com/PrinceOfPersia,"Boaz Yakin (screenplay), Doug Miro (screenplay), Carlo Bernard (screenplay), Jordan Mechner (screen story), Jordan Mechner (video game series ""Prince of Persia"")",2010,58f85d9c0d39b85b38208323,Action|Adventure|Fantasy|Romance|IMAX,tt0473075,473075,6.6,"226,085",78105,0.2,9543.0,"It doesn't offer much in the way of substance, but Prince of Persia is a suitably entertaining swashbuckler -- and a substantial improvement over most video game adaptations.",77,rotten,36.0,5.0,215,138,http://www.rottentomatoes.com/m/prince_of_persia_sands_of_time/,58.0,3.4,436593,90341670.0
2012,"Sarah Jessica Parker, Kristin Davis, Cynthia Nixon, Kim Cattrall",8 wins &amp; 8 nominations.,95328937.0,USA,26 Oct 2010,Michael Patrick King,"[Comedy, Drama, Romance]","English, Arabic",27.0,"While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3OTUyNTI3MF5BMl5BanBnXkFtZTcwODcyMzM0Mw@@._V1_SX300.jpg,Warner Bros. Pictures,R,27 May 2010,True,146.0,Sex and the City 2,movie,http://sexandthecitymovie.com/,"Michael Patrick King, Candace Bushnell (characters from the book by), Darren Star (television series creator)",2010,58f85d9c0d39b85b38208324,Comedy|Drama|Romance,tt1261945,1261945,4.3,"60,641",78174,-0.316666666667,37786.0,"Straining under a thin plot stretched to its limit by a bloated running time, Sex and the City 2 adds an unfortunate coda to the long-running HBO series.",30,rotten,15.0,3.7,199,169,http://www.rottentomatoes.com/m/sex_and_the_city_2/,43.0,3.1,324264,4000000.0
2013,"Rebecca Hall, Elizabeth Keener, Elise Ivy, Catherine Keener",5 wins &amp; 16 nominations.,4033268.0,USA,19 Oct 2010,Nicole Holofcener,"[Comedy, Drama]",English,78.0,"In New York City, a husband and wife butt heads with the granddaughters of the elderly woman who lives in the apartment the couple owns.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTczOTAxOTMyM15BMl5BanBnXkFtZTcwMTgyNTIyMw@@._V1_SX300.jpg,Sony Pictures Classics,R,18 Jun 2010,True,87.0,Please Give,movie,http://www.sonyclassics.com/pleasegive/,Nicole Holofcener,2010,58f85d9c0d39b85b38208325,Comedy|Drama,tt0878835,878835,6.6,"9,917",78116,0.0555555555556,40247.0,"Nicole Holofcener's newest might seem slight in places, but its rendering of complex characters in a conflicted economic landscape is varied, natural, and touching all the same.",116,certified,86.0,7.4,135,19,http://www.rottentomatoes.com/m/0878835/,64.0,3.4,11511,95111012.0
